gender,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,Yes,No,-1.2801570035428536,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-1.1616113317725827,-0.9941233945049435,No
Male,No,No,0.06429811287809704,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,-0.26085936993008635,-0.17372746429737473,No
Male,No,No,-1.2394159394088855,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,-0.3638974172257225,-0.9595808723447237,Yes
Male,No,No,0.5124498183517473,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),-0.747797238601399,-0.19523382387988703,No
Female,No,No,-1.2394159394088855,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.1961642269457189,-0.9403905822557127,Yes
Female,No,No,-0.9949695546050762,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.158406636367869,-0.6453233287836442,Yes
Male,No,Yes,-0.4245946567295214,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.807744894764978,-0.1473022142667596,No
Female,No,No,-0.9134874263371398,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-1.1649351397498613,-0.8741068791321749,No
Female,Yes,No,-0.18014827192571217,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.3295827471977157,0.33649161621861684,Yes
Male,No,Yes,1.2050479086292067,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),-0.2874498337483152,0.531438494157328,No
Male,Yes,Yes,-0.7912642339352352,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.49352592833958725,-0.7481347564904028,No
Male,No,No,-0.6690410415333305,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.5239064012959482,-0.8631220923915687,No
Male,Yes,No,1.0420836520933339,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),1.1816732922088187,1.4989599817139811,No
Male,No,No,0.6754140748876201,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.2930208594476515,1.2145025323026184,Yes
Male,No,No,-0.3023714643276168,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.352849403038666,0.1776754223785261,No
Female,Yes,Yes,1.490235357566984,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1.610444521277756,2.4757016316352387,No
Female,No,No,0.7976372672895247,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.4674016656822124,-0.5560112775532932,No
Male,No,Yes,1.5717174858349205,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),1.392735098766009,2.2494326710225097,No
Female,Yes,Yes,-0.9134874263371398,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.3190260095324616,-0.7742070816458179,Yes
Female,No,No,-0.46533572086348957,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.8393210705491246,-0.1854622163977814,No
Male,No,No,-1.2801570035428536,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,-0.8358781499992815,-0.9898000647837409,Yes
Male,Yes,No,-0.8320052980692034,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),-1.4956540334890804,-0.9180680838993,No
Male,No,No,-1.2801570035428536,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4840207055686052,-0.9984026086167459,Yes
Female,Yes,No,1.0420836520933339,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),-0.1628070346003683,0.5390043211694324,No
Male,Yes,Yes,0.6754140748876201,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.17277845853220394,0.30307404209809774,No
Female,No,No,-0.09866614365777576,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),-0.3157022015551832,-0.3320583864340652,No
Male,Yes,Yes,0.5939319466196836,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1484352124360329,1.087824559910446,Yes
Male,Yes,Yes,-1.2801570035428536,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,-1.1499780038521075,-0.9939689898720434,Yes
Male,Yes,No,1.6124585499688886,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.8459686865036818,1.8026297790190544,No
Female,No,Yes,-0.6282999773993624,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,-0.003264251690996137,-0.5250641775591754,Yes
Female,Yes,No,1.5717174858349205,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),1.0487209731176752,1.9779893263841546,No
Male,Yes,No,-1.2394159394088855,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.0204686053108076,-0.9271558994357051,No
Female,Yes,Yes,-0.22088933605968036,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,0.04493096397954342,-0.1803668635120785,No
Male,No,No,-1.2801570035428536,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-1.4823588015799658,-0.9983805508120459,No
Male,No,No,-1.2801570035428536,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),-0.6497449032716808,-0.9873295906573396,No
Female,Yes,Yes,1.6124585499688886,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),1.1667161563110655,2.1918397429507768,No
Male,No,No,-1.117192747006981,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.16292614717293305,-0.8674895377221711,Yes
Female,No,No,0.5531908824857155,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.3324403540141406,0.5580622644302434,No
Male,No,No,0.06429811287809704,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.3811017708455338,0.5584813627195436,Yes
Female,No,No,-0.8727463622031716,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.098578092776854,-0.5196379576029723,Yes
Male,Yes,Yes,-0.9134874263371398,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,-0.5068211602487017,-0.797433949994931,No
Female,Yes,Yes,1.5309764217009523,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0.14630710728654012,1.1421749906912773,No
Female,Yes,Yes,-0.6282999773993624,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.4640778577049338,-0.8227783675952456,No
Female,No,No,1.2457889727631748,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.500292656866709,1.1373663892666743,No
Female,Yes,No,-0.7912642339352352,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.37897366569604096,-0.5743192554543036,No
Female,No,No,0.6754140748876201,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6548497278101634,0.7161726085199336,No
Male,No,No,-1.2394159394088855,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,-0.5167925841805374,-0.9644997627928266,No
Female,No,No,-1.2394159394088855,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.526883120684938,-0.9436992529607146,Yes
Male,No,No,0.7976372672895247,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.4969688488894306,0.8534162693634122,No
Female,Yes,Yes,1.490235357566984,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),-0.02154519556602825,0.8694302355756214,No
Female,No,No,0.43096769008381086,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.8459686865036818,0.6861960519326166,No
Female,No,No,-0.7097821056672988,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.1401256924928365,-0.3780268514288914,Yes
Female,Yes,No,-0.3023714643276168,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0.1562785312183758,-0.2340996757613092,No
Female,Yes,No,-0.9949695546050762,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.526883120684938,-0.7279077495804913,Yes
Female,Yes,Yes,1.1235657803612702,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),0.3341022580027798,0.9586540555871723,No
Male,No,No,-0.5875589132653942,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0188067013221684,-0.2341437913707093,Yes
Female,Yes,Yes,1.2457889727631748,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),1.158406636367869,1.7769324365435397,No
Male,Yes,Yes,1.3680121651650794,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,1.4509017383683842,2.1144830218678328,No
Female,Yes,Yes,0.06429811287809704,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.3244779226592331,-0.6127660090464256,No
Female,No,No,1.6124585499688886,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.4193255625842376,2.4574157115389283,No
Female,Yes,No,0.5939319466196836,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1866590041747367,1.0692739461577356,No
Male,No,No,1.1235657803612702,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.8343353585832071,1.3973176176563227,No
Male,Yes,No,1.6124585499688886,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),-0.7544448545559561,0.29941244651789556,No
Female,Yes,Yes,-0.5875589132653942,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),-0.3456164733506904,-0.5850614063432098,No
Female,No,No,-0.954228490471108,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.9839067175607433,-0.629110842329135,Yes
Female,No,No,-1.1986748752749172,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.34905939390053353,-0.8996057013653895,No
Male,Yes,No,0.5939319466196836,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,0.46871648108256286,0.603082243822969,No
Female,No,No,-0.057925079523807564,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,0.4786879050143985,0.09436309402657835,No
Female,Yes,Yes,0.7161551390215882,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4840207055686052,-0.5966196960060163,No
Male,No,No,-0.9134874263371398,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.500292656866709,-0.6158320438997273,No
Male,No,No,-1.2801570035428536,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,-0.5234402001350946,-0.9856531975001386,No
Female,Yes,Yes,0.7976372672895247,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,-1.4757111856254088,-0.526145009989476,No
Male,Yes,Yes,1.286530036897143,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.5556016896526592,2.124475207396938,No
Male,Yes,Yes,1.2050479086292067,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.3477445785001834,-0.37882093239809195,No
Female,No,Yes,-1.1986748752749172,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),-0.009911867645553398,-0.9290308128352062,No
Female,No,No,0.9606015238253974,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,1.519039801902595,1.7011859352036964,No
Female,No,No,0.5531908824857155,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),-0.3040688736347081,0.17891065944172668,No
Female,Yes,Yes,-0.9949695546050762,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,-0.33730695340749395,-0.7945443775792295,No
Male,No,No,-0.09866614365777576,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.33077845002550144,-0.07587904264811876,No
Female,Yes,Yes,0.5124498183517473,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),-1.2929017468750867,-0.47058139995014436,No
Female,No,Yes,-1.2801570035428536,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.4836736169803161,-0.972286167851931,Yes
Female,Yes,Yes,-0.8727463622031716,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,-0.4735830804759159,-0.7578843061678086,No
Female,Yes,No,-1.0357106187390444,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.34407368193461596,-0.7880814408021257,Yes
Female,No,No,0.39022662594984264,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.29634466742493,0.9018110928752398,No
Female,Yes,No,0.6754140748876201,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.4840207055686052,-0.5778926198157057,No
Male,No,No,-0.954228490471108,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.1467733084473937,-0.6019797425481194,No
Female,Yes,No,0.10503917701206525,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),-0.08802135511160017,-0.029932635457992667,No
Female,Yes,Yes,0.6346730107536519,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4674016656822124,-0.5409899125525846,No
Female,Yes,Yes,0.5531908824857155,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,-1.4906683215231624,-0.5982960891632173,No
Male,Yes,No,-0.13940720779174395,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,-1.0319828206587178,-0.5620551160410966,No
